Nombre_Empresa_clean,Fecha,pasajeros
AIR CANADA,2017-01-05,7945
LATAM,2017-01-07,537447
21 AIR,2017-01-05,0
CUBANA,2017-01-01,775
ETIHAD,2017-01-03,0
AVIATECA,2017-01-01,1122
MAS AIR,2017-01-02,0
MARTINAIR,2017-01-04,0
MAS AIR,2017-01-10,0
AEROLINEAS ARGENTINAS,2019-01-01,7160
TRANSCARGA INTERNATIONAL AIRWAYS C.A.,2019-02-01,0
AERO APOYO,2019-02-01,202
AERO APOYO,2014-07-01,300
ALLAS S.A.S,2014-10-01,1918
AER CARIBE,2014-09-01,62
NACIONAL DE AVIACION S.A.S,2014-12-01,134
PACIFICA DE AVIACION S.A.S,2014-04-01,261
AIR COLOMBIA,2014-02-01,0
AIR CANADA,2014-04-01,5726
HELIGOLFO S.A.S,2015-09-01,625
AERO TAXI GUAYMARAL,2015-05-01,46
AEROPACA SAS,2015-09-01,548
DELTA,2015-08-01,18308
LAS,2015-03-01,0
SELVA,2015-06-01,0
TAMPA CARGO,2015-02-01,0
ALLAS S.A.S,2021-04-01,296
AMERICA´S AIR SAS,2021-04-01,1632
JETBLUE AIRWAYS,2021-08-01,30491
ALPES S.A.S,2022-08-01,14
TRANSCARGA INTERNATIONAL AIRWAYS C.A.,2022-08-01,0
SAE,2022-01-01,102
VIANA S.A.S,2020-03-01,276
HELIGOLFO S.A.S,2020-05-01,12
ALIANSA,2020-05-01,0
AER CARIBE,2020-09-01,0
ALPES S.A.S,2020-01-01,250
AEROSUCRE,2021-03-01,0
CENTRAL CHARTER,2017-01-07,5
LAS,2017-01-06,0
ABSA,2017-01-06,0
HELIGOLFO S.A.S,2017-01-09,0
SIS SOLUCIONES INTEGRALES,2017-01-09,8
AVANTY,2019-01-01,104
TACA INTERNATIONAL,2019-03-01,14715
LATAM,2014-03-01,319650
SAVIARE LTDA,2014-08-01,226
CENTURION AIR CARGO COLOMBIA,2014-09-01,0
ABSA,2014-12-01,0
AVIOCESAR,2015-03-01,181
TAERCO,2015-07-01,185
NACIONAL DE AVIACION S.A.S,2015-07-01,151
AERO TAXI GUAYMARAL,2015-01-01,97
ADA,2015-08-01,29564
COPA,2015-01-01,15024
INSELAIR ARUBA,2015-12-01,830
AEREA S.A.,2022-04-01,1080
TAC,2021-12-01,2496
AIR EUROPA,2022-01-01,19242
SARPA S.A.S,2020-02-01,14961
AIR FRANCE,2020-10-01,4737
TACA INTERNATIONAL,2021-07-01,2730
LATAM,2022-07-01,800927
AEROSUCRE,2017-01-02,0
SKY LEASE,2017-01-05,0
SELVA,2017-01-04,0
